"l_kw","geonames_kw","geonames_id","lc_kw","lc_id"
"Adampur (Haryana, India)","Adampur",7646705,,
"Adilabad (India : District)","Ādilābād",1279345,"Adilabad (India : District)","n2007200836"
"Afghanistan","Afghanistan",1149361,"Afghanistan","n79063030"
"Agar River (India)","Agar River",1279291,,
"Agartala (India)","Agartala",1279290,"Agartala (India)","n81095633"
"Agatti Island (India)","Agatti Island",1279278,,
"Agra (India : District)","Agra",1279262,"Agra (India : District)","n79114634"
"Ahmadābād (India : District)","Ahmadābād",1279234,"Ahmadābād (India : District)","n78019943"
"Ahmadnagar (India : District)","Ahmadnagar",1279229,"Ahmadnagar (India : District)","n82023901"
"Ahu River (India)","Ahu Nadī",1279215,,
"Aijal (India : District)","Aizawl",7626588,"Aijal (India : District)","n89234070"
"Ajmer District (India)","Ajmer",1279160,"Ajmer District (India)","n83047451"
"Aklera (India)","Aklera",1279115,"Aklera (India)",
"Aklūj (India)","Aklūj",1279113,,
"Alabama","Alabama",4829764,"Alabama","n79027034"
"Alameda (Calif.)","Alameda",5322737,"Alameda (Calif.)","n81081050"
"Alameda County (Calif.)","Alameda County",5322745,"Alameda County (Calif.)","n82205017"
"Alaska","Alaska",5879092,"Alaska","n79018447"
"Albany (Calif.)","Albany",5322850,"Albany (Calif.)","n81081052"
"Alībāg (India)","Alībāg",1279027,"Alibag (India)","n89265169"
"Alīgarh (India : District)","Alīgarh",1279020,"Alīgarh (India : District)","n83156419"
"Allahābād (India : District)","Allahābād",1278995,"Allahabad (India : District)","n85072194"
"Almora (India : District)","Almora",1278975,"Almora (India : District)","n85081975"
"Alwar (India : District)","Alwar",1278947,"Alwar (India : District)","n83009287"
"Ambāla (India : District)","Ambāla",1278861,"Ambāla (India : District)","n88080544"
"Ambattūr (India)","Ambattūr",1278840,,
"Ambikā River (India)","Ambikā River",1278826,,
"American Canyon (Calif.)","American Canyon",5323694,"American Canyon (Calif.)","n2001021388"
"Amrāvati (India : District)","Amrāvati",1278719,"Amrāvati (India : District)","no2005000085"
"Amritsar (India : District)","Amritsar",1278711,"Amritsar (India : District)","n83030714"
"Āmūr (India)","Āmūr",1278697,,
"Anand (India : District)","Anand",7627221,"Anand (India : District)","n2008050108"
"Andaman and Nicobar Islands (India)","Andaman and Nicobar Islands",1278647,"Andaman and Nicobar Islands (India)","n81023398"
"Andaman Islands (India)","Andaman",1278648,"Andaman Islands (India)","sh96007926"
"Andhāri (India)","Andhāri",1278638,,
"Andhāri River (India)","Andhāri River",1278637,,
"Andhra Pradesh (India)","Andhra Pradesh",1278629,"Andhra Pradesh (India)","n79110399"
"Andrōth Island (India)","Andrōth Island",1278616,,
"Anjan Nadī (India)","Anjan Nadī",1278575,,
"Anjuna (India)","Anjuna",1278566,"Anjuna (India)","n88001410"
"Antāgarh (India)","Antāgarh",1278530,,
"Antioch (Calif.)","Antioch",5324200,"Antioch (Calif.)","n81081053"
"Ara (India)","Ara",1278483,"Ara (India)","n88124350"
"Araku (India)","Araku",1278470,"Araku (India)","n2009216218"
"Araria (India : District)","Arāria",7626569,"Araria (India : District)","no2002074810"
"Arizona","Arizona",5551752,"Arizona","n79034873"
"Arkansas","Arkansas",4099753,"Arkansas","n79034503"
"Arna River (India)","Arna River",1278381,,
"Arpa River (India)","Arpa River",1278360,,
"Arunāchal Pradesh (India)","Arunāchal Pradesh",1278341,"Arunāchal Pradesh (India)","n80067460"
"Asifābād (India)","Asifābād",1278282,,
"Asola Mendha Tank (India)","Asola Mendha Tank",1278265,,
"Assam (India)","Assam",1278253,"Assam (India)","n79090160"
"Atherton (Calif.)","Atherton",5325147,"Atherton (Calif.)","n79063005"
"Ātmakūr (India)","Ātmakūr",1278202,,
"Attur (India)","Attur",1278173,,
"Aurangābād (Maharashtra, India : District)","Aurangabad District",1278151,"Aurangābād (Maharashtra, India : District)","n84163901"
"Bāba Bakāla (India)","Bāba Bakāla",1278077,,
"Babra (India : Taluka)","Bābra",1278054,"Babra (India : Taluka)","n2006206373"
"Bāda (India)","Bāda",7746355,,
"Badakhshān (Afghanistan)","Badakhshān",1147745,"Badakhshān (Afghanistan)","n83206283"
"Badarīnāth (India)","Badarīnāth",1278010,"Badarīnāth (India)","n82151441"
"Bādghīs (Afghanistan)","Bādghīs",1147707,"Bādghīs (Afghanistan)","n85281890"
"Badgom (India)","Badgom",1277997,,
"Bagaha (India : Division)","Bagaha",1277940,"Bagaha (India : Division)","n89263784"
"Bagh (India)","Bāgh",1277905,"Bagh (India)","n93035901"
"Baghlān (Afghanistan)","Wilāyat-e Baghlān",1147537,"Baghlān (Afghanistan)","n2010053592"
"Bāgūr (India)","Bāgūr",1277842,,
"Bāhudānadī River","Bāhudānadī River",1277791,,
"Bajaura (India)","Bajaura",1277724,,
"Bājengdoba (India)","Bājengdoba",1277721,,
"Bālāghāt (India : District)","Bālāghāt",1277662,"Bālāghāt (India : District)","n83020430"
"Balarāmpur (India)","Balarāmpur",1277634,,
"Balasore (India : District)","Bāleshwar",1277600,"Balasore (India : District)","n88147464"
"Bāligurha (India)","Bāligurha",1277576,,
"Balkh (Afghanistan)","Balkh",1147288,"Balkh (Afghanistan)","n83005425"
"Balkonda (India)","Bālkonda",1277560,"Balkonda (India)","n89280166"
"Bally (India)","Bāli",1277539,"Bally (India)","n84025845"
"Bāmyān (Afghanistan)","Wilāyat-e Bāmyān",1147239,"Bāmyān (Afghanistan)","n2012029934"
"Bāndi Nadī","Bāndi Nadī",1277360,,
"Bangalore (India) ","Bangalore",1277333,"Bangalore (India) ","n79127101"
"Bānki (India)","Bānki",1277273,,
"Bānkurā (India : District)","Bānkurā",1277265,"Bānkurā (India : District)","n82109041"
"Bānsgaon (India)","Bānsgaon",1277235,,
"Bānswāra (India : District)","Bānswāra",1277215,"Bānswāra (India : District)","n84018079"
"Bāra Banki (India : District)","Bāra Banki",1277159,"Bāra Banki (India : District)","n79126738"
"Barādi Māta Creek","Barādi Māta Creek",1277140,,
"Barāk River (India)","Barāk River",1277099,,
"Bāramūla (India : District)","Bāramūla",1277086,"Bāramūla (India : District)","n82166786"
"Barāra (India)","Barāra",6993128,,
"Bareilly (India : District)","Bareilly",1277014,"Bareilly (India : District)","n87853333"
"Barharwa (India)","Barharwā",1276961,"Barharwa (India)","no2002076423"
"Barjala (India)","Barjala",1276938,,
"Bārmer (India : District)","Bārmer",1276902,"Bārmer (India : District)","n89291246"
"Bārna Nadi","Bārna Nadi",8457418,,
"Barsi (India)","Barsi",1441502,,
"Bassi (Rajasthan, India)","Bassi",1276744,,
"Basta (India)","Basta",1276742,,
"Bastar (India : District)","Bastar",1276739,"Bastar (India : District)","n83313074"
"Baswa (India)","Baswa",1276724,,
"Bavarwala Nār","Bavarwala Nār",1276671,,
"Beās River (India)","Beās River",1276635,"Beās River (India)","sh94001828"
"Bedi Bundar Creek","Bedi Bundar Creek",1276626,,
"Bedti River (India)","Bedti River",1276622,,
"Behari Khāl","Behari Khāl",1276603,,
"Bellary (India : District)","Bellary",1276510,"Bellary (India : District)","n82027809"
"Belmont (Calif.)","Belmont",5327455,"Belmont (Calif.)","n81081055"
"Belonia (India)","Belonia",1276502,,
"Belvedere (Calif.)","Belvedere",5327490,"Belvedere (Calif.)","n81081054"
"Benicia (Calif.)","Benicia",5327550,"Benicia (Calif.)","n79064893"
"Beohāri (India)","Beohāri",1276455,,
"Berkeley (Calif.)","Berkeley",5327684,"Berkeley (Calif.)","n79046046"
"Berubāri (India)","Berubāri",1276427,,
"Bettiah (India)","Bettiah",1276393,"Bettiah (India)","n89166220"
"Betūl (India : District)","Betūl",1276391,"Betūl (India : District)","n89105127"
"Betwa River (India)","Betwa River",1276386,"Betwa River (India)","sh90000804"
"Bhādar River (India)","Bhādar River",1276360,,
"Bhāgalpur (India : District)","Bhāgalpur",1276301,"Bhāgalpur (India : District)","n81108245"
"Bhāgīrathi River","Bhāgīrathi River",1276293,,
"Bhairamgarh (India)","Bhairamgarh",1276258,,
"Bhākra Dam","Bhākra Dam",1276238,"Bhakra Dam (India)","sh99002611"
"Bhandāra (India : District)","Bhandāra",1276192,"Bhandāra (India : District)","n83020432"
"Bhandarej (India)","Bhandarej",1276188,,
"Bhānupratāppur (India)","Bhānupratāppur",1333553,,
"Bharūch (India : District)","Bharūch",1276101,"Bharūch (India : District)","n83312388"
"Bhattu Khurd (India)","Bhattu Khurd",1276053,,
"Bhāvnagar (India : District)","Bhāvnagar",1276033,"Bhāvnagar (India : District)","n80160689"
"Bhayandar (India)","Bhayandar",1276014,,
"Bhīlwāra (India : District)","Bhīlwāra",1275961,"Bhīlwāra (India : District)","n89284170"
"Bhiwandi (India)","Bhiwandi",1275901,"Bhiwandi (India)","n85044956"
"Bhiwani (India : District)","Bhiwani",1275900,"Bhiwani (India : District)","n87914770"
"Bhogāva River","Bhogāva River",1275888,,
"Bhojpur (Madhya Pradesh, India)","Bhojpur",8432808,"Bhojpur (Madhya Pradesh, India)","n89204440"
"Bhokar (India)","Bhokar",1275864,,
"Bhopal (India : District)","Bhopāl",1275842,"Bhopal (India : District)","n89146080"
"Bhopālgarh (India)","Bhopālgarh",1276905,,
"Bhubaneswar (India)","Bhubaneshwar",1275817,"Bhubaneswar (India)","n80025998"
"Bhugai River","Bhugai River",1208797,,
"Bhuj (India)","Bhuj",1275812,"Bhuj (India)","n82251410"
"Bhūkhi-Bhādar River","Bhūkhi-Bhādar River",1275806,,
"Bhusāwal (India)","Bhusāwal",1275778,,
"Bideipur (India)","Bideipur",1275734,,
"Bihar (India)","Bihār",1275715,"Bihar (India)","n79077375"
"Bījāpur (Chhattīsgarh, India)","Bījāpur",1275700,,
"Bīkāner (India : District)","Bīkāner",1275666,"Bīkāner (India : District)","n89250061"
"Bilāspur (Chhattīsgarh, India : District)","Bilāspur",1275639,"Bilāspur (Chhattīsgarh, India : District)","n2010013207"
"Bilaspur (Princely State)","Bilāspur",1275638,"Bilaspur (Princely State)","no2005002864"
"Bina (India)","Bīna",6990539,"Bina (India)","no2003014476"
"Binnāguri (India)","Binnāguri",1275549,,
"Birmitrapur (India)","Birmitrapur",1275506,,
"Birpara (India)","Birpara",7284803,,
"Bodhan (Andhra Pradesh, India)","Bodhan",1275391,,
"Boglia River","Boglia River",1275381,,
"Boinu River (India)","Boinu River",1275371,,
"Bokaro (India : District)","Bokāro",7701427,"Bokaro (India : District)","n2009200258"
"Bomdila (India)","Bomdila",1275334,"Bomdila (India)","n89273930"
"Bor River (India)","Bor River",1275231,,
"Borāwar (India)","Borāwar",1275302,,
"Bori River","Bori River",1275250,,
"Both (India)","Both",1275216,"Both (India)","n82133366"
"Brahmani River (Orissa, India)","Brāhmani River",1275204,"Brahmani River (Orissa, India)","sh89005278"
"Brahmapur (India)","Brahmapur",1275198,"Brahmapur (India)","n82162996"
"Brahmaputra River","Brahmaputra River",1208092,"Brahmaputra River","sh85016307"
"Brentwood (Calif.)","Brentwood",5330642,"Brentwood (Calif.)","n78030109"
"Brisbane (Calif.)","Brisbane",5330810,"Brisbane (Calif.)","n78087929"
"Bundi (India : District)","Būndi",1275104,"Bundi (India : District)","no2004086752"
"Burlingame (Calif.)","Burlingame",5331920,"Burlingame (Calif.)","n81081056"
"Calangute (India)","Calangute",1273858,,
"Calistoga (Calif.)","Calistoga",5332937,"Calistoga (Calif.)","n82032028"
"Campbell (Calif.)","Campbell",5333689,"Campbell (Calif.)","n81108743"
"Cannanore (India : District)","Cannanore",1274988,"Cannanore (India : District)","n82103542"
"Car Nicobar Island (India)","Car Nicobar Island",1274969,"Car Nicobar Island (India)","sh96008264"
"Cauvery River (India)","Kāveri River",1267384,"Cauvery River (India)","sh85021473"
"Chakra Nadī","Chakra Nadī",1274888,,
"Chambal River (India)","Chambal River",1274846,"Chambal River (India)","sh85022419"
"Chandīgarh (India : Union Territory)","Chandīgarh",1274744,"Chandīgarh (India : Union Territory)","n81109268"
"Chandni Chowk (Delhi, India)","Chandni Chowk",6619404,"Chandni Chowk (Delhi, India)","no2004006256"
"Chandragiri River","Chandragiri River",1274704,,
"Chargaon (India)","Chārgaon",1274582,,
"Chautang Nadī (India)","Chautang Nadī",1274473,,
"Chavara (India)","Chavara",1274466,,
"Chenāb River (India and Pakistan)","Chenāb River",1115005,"Chenāb River (India and Pakistan)","sh2002005758"
"Chennai (India : District)","Chennai",7646145,"Chennai (India : District)","n2012073877"
"Cheyyur (India)","Cheyyur",1274383,,
"Chhapra (India)","Chhapra",1274353,,
"Chhatar Nār","Chhatar Nār",1430581,,
"Chhatarpur","Chhatarpur",1274339,,
"Chhattīsgarh (India)","Chhattisgarh",1444364,"Chhattīsgarh (India)","n84025797"
"Chinnūr (India)","Chinnūr",1274142,,
"Chitarpur (India)","Chitarpur",1274073,,
"Chitrakot (India)","Chitrakot",1274054,,
"Chittaurgarh (India)","Chittorgarh",1274041,"Chittaurgarh (India)","n82007235"
"Chittur (India)","Chittūr",1274032,"Chittur (India)","n88292165"
"Chulband River (India)","Chūlband River",1273939,,
"Churu (India)","Chūru",1273894,"Churu (India)","n82143148"
"Clayton (Calif.)","Clayton",5337841,"Clayton (Calif.)","n81081210"
"Cloverdale (Calif.)","Cloverdale",5338104,"Cloverdale (Calif.)","n83220611"
"Cochin (India) ","Kochi",1273874,"Cochin (India) ","n80152910"
"Coimbatore (India : District)","Coimbatore",1273866,"Coimbatore (India : District)","n82241163"
"Colma (Calif.)","Colma",5338703,"Colma (Calif.)","n83226129"
"Colorado","Colorado",5417618,"Colorado","n80125532"
"Concord (Calif.)","Concord",5339111,"Concord (Calif.)","n80038253"
"Connecticut","Connecticut",4831725,"Connecticut","n79074102"
